"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.87,0.41,-7.03,0
"siteFactorb Eno River SP",-0.33,0.61,-0.54,0.589
"siteFactorc NCBG",-0.56,0.42,-1.32,0.186
"siteFactord Prairie Ridge",0.82,0.41,2.01,0.045
"siteFactore UNC",-1.93,0.52,-3.73,0
"cicadayear",1.05,0.43,2.47,0.013
"siteFactorb Eno River SP:cicadayear",-0.01,0.63,-0.02,0.981
"siteFactorc NCBG:cicadayear",-0.27,0.47,-0.59,0.556
"siteFactord Prairie Ridge:cicadayear",-1.3,0.44,-2.93,0.003
"siteFactore UNC:cicadayear",-13.73,218.38,-0.06,0.95
