"","Bird.Call","Location","Distance","Date","Confidence","jd","std_dev","mean_noise"
"61","Acadian Flycatcher","eno","50m",521,0.7067,142,0.067820519204472,0.0882721839051551
"62","Blue-gray Gnatcatcher","eno","50m",521,0.8503,142,0.067820519204472,0.0882721839051551
"63","Carolina Wren","eno","50m",521,0.9296,142,0.067820519204472,0.0882721839051551
"64","Eastern Wood-Pewee","eno","50m",521,0.901,142,0.067820519204472,0.0882721839051551
"65","Mourning Dove","eno","50m",521,4e-04,142,0.067820519204472,0.0882721839051551
"66","Yellow-billed Cuckoo","eno","50m",521,0.0011,142,0.067820519204472,0.0882721839051551
"67","Acadian Flycatcher","eno","50m",521,0.1445,142,0.067820519204472,0.0882721839051551
"68","Blue-gray Gnatcatcher","eno","50m",521,0.0015,142,0.067820519204472,0.0882721839051551
"69","Carolina Wren","eno","50m",521,0.4808,142,0.067820519204472,0.0882721839051551
"70","Eastern Wood-Pewee","eno","50m",521,0.4918,142,0.067820519204472,0.0882721839051551
"71","Mourning Dove","eno","50m",521,0.004,142,0.067820519204472,0.0882721839051551
"72","Yellow-billed Cuckoo","eno","50m",521,0.0126,142,0.067820519204472,0.0882721839051551
"73","Acadian Flycatcher","eno","25m",618,0.8852,170,0.00813053385650396,0.0158828649711187
"74","Blue-gray Gnatcatcher","eno","25m",618,0.9838,170,0.00813053385650396,0.0158828649711187
"75","Carolina Wren","eno","25m",618,0.8698,170,0.00813053385650396,0.0158828649711187
"76","Eastern Wood-Pewee","eno","25m",618,0.7578,170,0.00813053385650396,0.0158828649711187
"77","Mourning Dove","eno","25m",618,0.9092,170,0.00813053385650396,0.0158828649711187
"78","Yellow-billed Cuckoo","eno","25m",618,0.9239,170,0.00813053385650396,0.0158828649711187
"79","Acadian Flycatcher","eno","25m",618,0.6036,170,0.00813053385650396,0.0158828649711187
"80","Blue-gray Gnatcatcher","eno","25m",618,0.8447,170,0.00813053385650396,0.0158828649711187
"81","Carolina Wren","eno","25m",618,0.4409,170,0.00813053385650396,0.0158828649711187
"82","Eastern Wood-Pewee","eno","25m",618,0.9257,170,0.00813053385650396,0.0158828649711187
"83","Mourning Dove","eno","25m",618,0.8275,170,0.00813053385650396,0.0158828649711187
"84","Yellow-billed Cuckoo","eno","25m",618,0.9687,170,0.00813053385650396,0.0158828649711187
"85","Acadian Flycatcher","eno","25m",618,0.3037,170,0.00813053385650396,0.0158828649711187
"86","Blue-gray Gnatcatcher","eno","25m",618,0.962,170,0.00813053385650396,0.0158828649711187
"87","Carolina Wren","eno","25m",618,0.9737,170,0.00813053385650396,0.0158828649711187
"88","Eastern Wood-Pewee","eno","25m",618,0.5545,170,0.00813053385650396,0.0158828649711187
"89","Mourning Dove","eno","25m",618,0.1854,170,0.00813053385650396,0.0158828649711187
"90","Yellow-billed Cuckoo","eno","25m",618,0.9379,170,0.00813053385650396,0.0158828649711187
"91","Acadian Flycatcher","eno","50m",618,0.0077,170,0.00813053385650396,0.0158828649711187
"92","Blue-gray Gnatcatcher","eno","50m",618,0.6358,170,0.00813053385650396,0.0158828649711187
"93","Carolina Wren","eno","50m",618,9e-04,170,0.00813053385650396,0.0158828649711187
"94","Eastern Wood-Pewee","eno","50m",618,0.0115,170,0.00813053385650396,0.0158828649711187
"95","Mourning Dove","eno","50m",618,0.05,170,0.00813053385650396,0.0158828649711187
"96","Yellow-billed Cuckoo","eno","50m",618,0.6367,170,0.00813053385650396,0.0158828649711187
"97","Acadian Flycatcher","eno","50m",618,0.0314,170,0.00813053385650396,0.0158828649711187
"98","Blue-gray Gnatcatcher","eno","50m",618,0.4392,170,0.00813053385650396,0.0158828649711187
"99","Carolina Wren","eno","50m",618,0.1275,170,0.00813053385650396,0.0158828649711187
"100","Eastern Wood-Pewee","eno","50m",618,0.634,170,0.00813053385650396,0.0158828649711187
"101","Mourning Dove","eno","50m",618,0.0988,170,0.00813053385650396,0.0158828649711187
"102","Yellow-billed Cuckoo","eno","50m",618,0.9896,170,0.00813053385650396,0.0158828649711187
"103","Acadian Flycatcher","eno","50m",618,0.1919,170,0.00813053385650396,0.0158828649711187
"104","Blue-gray Gnatcatcher","eno","50m",618,0.4711,170,0.00813053385650396,0.0158828649711187
"105","Carolina Wren","eno","50m",618,0.3228,170,0.00813053385650396,0.0158828649711187
"106","Eastern Wood-Pewee","eno","50m",618,0.4842,170,0.00813053385650396,0.0158828649711187
"107","Mourning Dove","eno","50m",618,0.2444,170,0.00813053385650396,0.0158828649711187
"108","Yellow-billed Cuckoo","eno","50m",618,0.9955,170,0.00813053385650396,0.0158828649711187
"109","Acadian Flycatcher","eno","50m",618,0.1365,170,0.00813053385650396,0.0158828649711187
"110","Blue-gray Gnatcatcher","eno","50m",618,0.2859,170,0.00813053385650396,0.0158828649711187
"111","Carolina Wren","eno","50m",618,0.4052,170,0.00813053385650396,0.0158828649711187
"112","Eastern Wood-Pewee","eno","50m",618,0.0079,170,0.00813053385650396,0.0158828649711187
"113","Mourning Dove","eno","50m",618,0.0084,170,0.00813053385650396,0.0158828649711187
"114","Yellow-billed Cuckoo","eno","50m",618,0.9765,170,0.00813053385650396,0.0158828649711187
"115","Acadian Flycatcher","jmill","25m",520,0.9047,141,0.0800073461352039,0.170275328545878
"116","Acadian Flycatcher","jmill","25m",520,0.8763,141,0.0800073461352039,0.170275328545878
"117","Acadian Flycatcher","jmill","25m",520,0.8588,141,0.0800073461352039,0.170275328545878
"118","Blue-gray Gnatcatcher","jmill","25m",520,0.7211,141,0.0800073461352039,0.170275328545878
"119","Blue-gray Gnatcatcher","jmill","25m",520,0.878,141,0.0800073461352039,0.170275328545878
"120","Blue-gray Gnatcatcher","jmill","25m",520,0.7697,141,0.0800073461352039,0.170275328545878
"121","Carolina Wren","jmill","25m",520,0.3658,141,0.0800073461352039,0.170275328545878
"122","Carolina Wren","jmill","25m",520,0.8716,141,0.0800073461352039,0.170275328545878
"123","Carolina Wren","jmill","25m",520,0.9614,141,0.0800073461352039,0.170275328545878
"124","Eastern Wood-Pewee","jmill","25m",520,0.78,141,0.0800073461352039,0.170275328545878
"125","Eastern Wood-Pewee","jmill","25m",520,0.5833,141,0.0800073461352039,0.170275328545878
"126","Eastern Wood-Pewee","jmill","25m",520,0.8497,141,0.0800073461352039,0.170275328545878
"127","Mourning Dove","jmill","25m",520,0.8197,141,0.0800073461352039,0.170275328545878
"128","Mourning Dove","jmill","25m",520,0.9928,141,0.0800073461352039,0.170275328545878
"129","Mourning Dove","jmill","25m",520,0.817,141,0.0800073461352039,0.170275328545878
"130","Yellow-billed Cuckoo","jmill","25m",520,0.9655,141,0.0800073461352039,0.170275328545878
"131","Yellow-billed Cuckoo","jmill","25m",520,0.9616,141,0.0800073461352039,0.170275328545878
"132","Yellow-billed Cuckoo","jmill","25m",520,0.9917,141,0.0800073461352039,0.170275328545878
"133","Acadian Flycatcher","jmill","50m",520,0.4586,141,0.0800073461352039,0.170275328545878
"134","Acadian Flycatcher","jmill","50m",520,0.1685,141,0.0800073461352039,0.170275328545878
"135","Acadian Flycatcher","jmill","50m",520,0.5524,141,0.0800073461352039,0.170275328545878
"136","Blue-gray Gnatcatcher","jmill","50m",520,0.0112,141,0.0800073461352039,0.170275328545878
"137","Blue-gray Gnatcatcher","jmill","50m",520,0.1692,141,0.0800073461352039,0.170275328545878
"138","Blue-gray Gnatcatcher","jmill","50m",520,0.1818,141,0.0800073461352039,0.170275328545878
"139","Carolina Wren","jmill","50m",520,0.4866,141,0.0800073461352039,0.170275328545878
"140","Carolina Wren","jmill","50m",520,0.2432,141,0.0800073461352039,0.170275328545878
"141","Carolina Wren","jmill","50m",520,0.6709,141,0.0800073461352039,0.170275328545878
"142","Eastern Wood-Pewee","jmill","50m",520,0.1273,141,0.0800073461352039,0.170275328545878
"143","Eastern Wood-Pewee","jmill","50m",520,0.0647,141,0.0800073461352039,0.170275328545878
"144","Eastern Wood-Pewee","jmill","50m",520,0.0648,141,0.0800073461352039,0.170275328545878
"145","Mourning Dove","jmill","50m",520,0.2065,141,0.0800073461352039,0.170275328545878
"146","Mourning Dove","jmill","50m",520,0.0719,141,0.0800073461352039,0.170275328545878
"147","Yellow-billed Cuckoo","jmill","50m",520,0.6994,141,0.0800073461352039,0.170275328545878
"148","Yellow-billed Cuckoo","jmill","50m",520,0.8007,141,0.0800073461352039,0.170275328545878
"149","Yellow-billed Cuckoo","jmill","50m",520,0.5301,141,0.0800073461352039,0.170275328545878
"150","Acadian Flycatcher","jmill","25m",617,0.7962,169,0.00141937593735683,0.00786338267855732
"151","Blue-gray Gnatcatcher","jmill","25m",617,0.829,169,0.00141937593735683,0.00786338267855732
"152","Carolina Wren","jmill","25m",617,0.6029,169,0.00141937593735683,0.00786338267855732
"153","Eastern Wood-Pewee","jmill","25m",617,0.9073,169,0.00141937593735683,0.00786338267855732
"154","Mourning Dove","jmill","25m",617,0.1684,169,0.00141937593735683,0.00786338267855732
"155","Yellow-billed Cuckoo","jmill","25m",617,0.9955,169,0.00141937593735683,0.00786338267855732
"156","Acadian Flycatcher","jmill","25m",617,0.8503,169,0.00141937593735683,0.00786338267855732
"157","Blue-gray Gnatcatcher","jmill","25m",617,0.9169,169,0.00141937593735683,0.00786338267855732
"158","Carolina Wren","jmill","25m",617,0.8237,169,0.00141937593735683,0.00786338267855732
"159","Eastern Wood-Pewee","jmill","25m",617,0.8529,169,0.00141937593735683,0.00786338267855732
"160","Mourning Dove","jmill","25m",617,0.2335,169,0.00141937593735683,0.00786338267855732
"161","Yellow-billed Cuckoo","jmill","25m",617,0.9934,169,0.00141937593735683,0.00786338267855732
"162","Acadian Flycatcher","jmill","25m",617,0.915,169,0.00141937593735683,0.00786338267855732
