"","Location.x","Bird.Call.x","Distance.x","jd.x","mean_noise","Confidence","Start.Time","End.Time"
"1","eno","Acadian Flycatcher","25m",137,0.0594884739947621,0.8209,61.5,64.5
"2","eno","Acadian Flycatcher","25m",142,0.0882721839051551,0.5688,88.5,91.5
"3","eno","Acadian Flycatcher","25m",170,0.0158828649711187,0.3037,124.5,127.5
"4","eno","Acadian Flycatcher","50m",142,0.0882721839051551,0.1445,183,186
"5","eno","Acadian Flycatcher","50m",170,0.0158828649711187,0.0077,12,15
"6","eno","Blue-gray Gnatcatcher","25m",137,0.0594884739947621,0.1993,112.5,115.5
"7","eno","Blue-gray Gnatcatcher","25m",142,0.0882721839051551,0.6369,6,9
"8","eno","Blue-gray Gnatcatcher","25m",170,0.0158828649711187,0.8447,94.5,97.5
"9","eno","Blue-gray Gnatcatcher","50m",142,0.0882721839051551,0.0015,184.5,187.5
"10","eno","Blue-gray Gnatcatcher","50m",142,0.0882721839051551,0.0015,96,99
"11","eno","Blue-gray Gnatcatcher","50m",170,0.0158828649711187,0.2859,139.5,142.5
"12","eno","Carolina Wren","25m",137,0.0594884739947621,0.1124,190.5,193.5
"13","eno","Carolina Wren","25m",142,0.0882721839051551,0.4157,10.5,13.5
"14","eno","Carolina Wren","25m",170,0.0158828649711187,0.4409,99,102
"15","eno","Carolina Wren","50m",142,0.0882721839051551,0.4808,189,192
"16","eno","Carolina Wren","50m",170,0.0158828649711187,9e-04,18,21
"17","eno","Carolina Wren","50m",170,0.0158828649711187,9e-04,135,138
"18","eno","Eastern Wood-Pewee","25m",137,0.0594884739947621,0.1106,244.5,247.5
"19","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.0079,141,144
"20","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.0079,145.5,148.5
"21","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.0079,33,36
"22","eno","Eastern Wood-Pewee","25m",170,0.0158828649711187,0.5545,133.5,136.5
"23","eno","Eastern Wood-Pewee","50m",142,0.0882721839051551,0.4918,190.5,193.5
"24","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.0079,141,144
"25","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.0079,145.5,148.5
"26","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.0079,33,36
"27","eno","Mourning Dove","25m",137,0.0594884739947621,0.0294,282,285
"28","eno","Mourning Dove","25m",142,0.0882721839051551,0.2142,25.5,28.5
"29","eno","Mourning Dove","25m",170,0.0158828649711187,0.1854,141,144
"30","eno","Mourning Dove","50m",142,0.0882721839051551,4e-04,163.5,166.5
"31","eno","Mourning Dove","50m",170,0.0158828649711187,0.0084,153,156
"32","eno","Yellow-billed Cuckoo","25m",137,0.0594884739947621,0.8524,336,339
"33","eno","Yellow-billed Cuckoo","25m",142,0.0882721839051551,0.8077,109.5,112.5
"34","eno","Yellow-billed Cuckoo","25m",170,0.0158828649711187,0.9239,82.5,85.5
"35","eno","Yellow-billed Cuckoo","50m",142,0.0882721839051551,0.0011,169.5,172.5
"36","eno","Yellow-billed Cuckoo","50m",142,0.0882721839051551,0.0011,94.5,97.5
"37","eno","Yellow-billed Cuckoo","50m",170,0.0158828649711187,0.6367,34.5,37.5
"38","jmill","Acadian Flycatcher","25m",141,0.170275328545878,0.8588,22.5,25.5
"39","jmill","Acadian Flycatcher","25m",169,0.00786338267855732,0.7962,105,108
"40","jmill","Acadian Flycatcher","50m",141,0.170275328545878,0.1685,16.5,19.5
"41","jmill","Acadian Flycatcher","50m",169,0.00786338267855732,0.6057,115.5,118.5
"42","jmill","Blue-gray Gnatcatcher","25m",141,0.170275328545878,0.7211,42,45
"43","jmill","Blue-gray Gnatcatcher","25m",169,0.00786338267855732,0.7605,175.5,178.5
