SiteID,CCID,Name,Latitude,Longitude,forest_1km
DF,301,Duke Forest - Korstian Division,35.98299217,-79.01887264,0.855832617
ERSP,310,Eno River State Park,36.07689875,-79.00719785,0.933829848
JMNP,197,Triangle Land Conservancy - Johnston Mill Nature Preserve,35.99585449,-79.05378535,0.725193023
NCBG,78,NC Botanical Garden,35.8994,-79.0339,0.425782372
NCSU,68,NC State University,35.78107172,-78.6754681,0.006857143
UNC,60,UNC Chapel Hill Campus,35.90987665,-79.04964402,0.075114679
