"","Location","Bird.Call","Distance","jd","mean_noise","Confidence"
"1","eno","Acadian Flycatcher","25m",137,0.0594884739947621,0.986
"2","eno","Acadian Flycatcher","25m",142,0.0882721839051551,0.8742
"3","eno","Acadian Flycatcher","25m",170,0.0158828649711187,0.8852
"4","eno","Acadian Flycatcher","50m",142,0.0882721839051551,0.7733
"5","eno","Acadian Flycatcher","50m",170,0.0158828649711187,0.1919
"6","eno","Blue-gray Gnatcatcher","25m",137,0.0594884739947621,0.6267
"7","eno","Blue-gray Gnatcatcher","25m",142,0.0882721839051551,0.9601
"8","eno","Blue-gray Gnatcatcher","25m",170,0.0158828649711187,0.9838
"9","eno","Blue-gray Gnatcatcher","50m",142,0.0882721839051551,0.8503
"10","eno","Blue-gray Gnatcatcher","50m",170,0.0158828649711187,0.6358
"11","eno","Carolina Wren","25m",137,0.0594884739947621,0.9176
"12","eno","Carolina Wren","25m",142,0.0882721839051551,0.9604
"13","eno","Carolina Wren","25m",170,0.0158828649711187,0.9737
"14","eno","Carolina Wren","50m",142,0.0882721839051551,0.9296
"15","eno","Carolina Wren","50m",170,0.0158828649711187,0.4052
"16","eno","Eastern Wood-Pewee","25m",137,0.0594884739947621,0.3144
"17","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.5729
"18","eno","Eastern Wood-Pewee","25m",170,0.0158828649711187,0.9257
"19","eno","Eastern Wood-Pewee","50m",142,0.0882721839051551,0.901
"20","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.634
"21","eno","Mourning Dove","25m",137,0.0594884739947621,0.1627
"22","eno","Mourning Dove","25m",142,0.0882721839051551,0.3096
"23","eno","Mourning Dove","25m",170,0.0158828649711187,0.9092
"24","eno","Mourning Dove","50m",142,0.0882721839051551,0.004
"25","eno","Mourning Dove","50m",170,0.0158828649711187,0.2444
"26","eno","Yellow-billed Cuckoo","25m",137,0.0594884739947621,0.942
"27","eno","Yellow-billed Cuckoo","25m",142,0.0882721839051551,0.978
"28","eno","Yellow-billed Cuckoo","25m",170,0.0158828649711187,0.9687
"29","eno","Yellow-billed Cuckoo","50m",142,0.0882721839051551,0.0136
"30","eno","Yellow-billed Cuckoo","50m",170,0.0158828649711187,0.9955
"31","jmill","Acadian Flycatcher","25m",141,0.170275328545878,0.9047
"32","jmill","Acadian Flycatcher","25m",169,0.00786338267855732,0.915
"33","jmill","Acadian Flycatcher","50m",141,0.170275328545878,0.5524
"34","jmill","Acadian Flycatcher","50m",169,0.00786338267855732,0.9498
"35","jmill","Blue-gray Gnatcatcher","25m",141,0.170275328545878,0.878
"36","jmill","Blue-gray Gnatcatcher","25m",169,0.00786338267855732,0.9169
"37","jmill","Blue-gray Gnatcatcher","50m",141,0.170275328545878,0.1818
"38","jmill","Blue-gray Gnatcatcher","50m",169,0.00786338267855732,0.7769
