"BROOD_NAME","year","YEAR_NEXT_EMERGENCE","CYCLE","n_snakes","species","n_copper","perc_copper","last_emergence","emergence_year"
"Brood I",2017,2029,17,63,"Agkistrodon contortrix",3,0.0476190476190476,2012,0
"Brood I",2018,2029,17,65,"Agkistrodon contortrix",6,0.0923076923076923,2012,0
"Brood I",2019,2029,17,132,"Agkistrodon contortrix",5,0.0378787878787879,2012,0
"Brood I",2020,2029,17,231,"Agkistrodon contortrix",14,0.0606060606060606,2012,0
"Brood I",2021,2029,17,215,"Agkistrodon contortrix",11,0.0511627906976744,2012,0
"Brood I",2022,2029,17,251,"Agkistrodon contortrix",15,0.0597609561752988,2012,0
"Brood I",2023,2029,17,252,"Agkistrodon contortrix",12,0.0476190476190476,2012,0
"Brood I",2024,2029,17,253,"Agkistrodon contortrix",20,0.0790513833992095,2012,0
"Brood II",2005,2030,17,20,"Agkistrodon contortrix",1,0.05,2013,0
"Brood II",2006,2030,17,30,"Agkistrodon contortrix",2,0.0666666666666667,2013,0
"Brood II",2007,2030,17,36,NA,NA,NA,2013,0
"Brood II",2008,2030,17,66,"Agkistrodon contortrix",1,0.0151515151515152,2013,0
"Brood II",2009,2030,17,168,"Agkistrodon contortrix",1,0.00595238095238095,2013,0
"Brood II",2010,2030,17,76,"Agkistrodon contortrix",2,0.0263157894736842,2013,0
"Brood II",2011,2030,17,115,"Agkistrodon contortrix",15,0.130434782608696,2013,0
"Brood II",2012,2030,17,130,"Agkistrodon contortrix",5,0.0384615384615385,2013,0
"Brood II",2013,2030,17,117,"Agkistrodon contortrix",3,0.0256410256410256,2013,1
"Brood II",2014,2030,17,212,"Agkistrodon contortrix",5,0.0235849056603774,2013,0
"Brood II",2015,2030,17,256,"Agkistrodon contortrix",3,0.01171875,2013,0
"Brood II",2016,2030,17,501,"Agkistrodon contortrix",14,0.0279441117764471,2013,0
"Brood II",2017,2030,17,696,"Agkistrodon contortrix",27,0.0387931034482759,2013,0
"Brood II",2018,2030,17,1306,"Agkistrodon contortrix",76,0.0581929555895865,2013,0
"Brood II",2019,2030,17,2062,"Agkistrodon contortrix",67,0.0324927255092144,2013,0
"Brood II",2020,2030,17,4403,"Agkistrodon contortrix",101,0.0229389052918465,2013,0
"Brood II",2021,2030,17,4318,"Agkistrodon contortrix",106,0.0245484020379805,2013,0
"Brood II",2022,2030,17,4183,"Agkistrodon contortrix",108,0.0258187903418599,2013,0
"Brood II",2023,2030,17,5073,"Agkistrodon contortrix",151,0.0297654247979499,2013,0
"Brood II",2024,2030,17,4769,"Agkistrodon contortrix",137,0.0287271964772489,2013,0
"Brood III",2014,2014,17,24,NA,NA,NA,2014,1
"Brood III",2016,2014,17,27,NA,NA,NA,2014,0
"Brood III",2017,2014,17,48,NA,NA,NA,2014,0
"Brood III",2018,2014,17,54,NA,NA,NA,2014,0
"Brood III",2019,2014,17,212,NA,NA,NA,2014,0
