Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9902,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.4551,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0044,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0018,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0011,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
