Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Thryothorus ludovicianus,Carolina Wren,0.0103,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
9.0,12.0,Zenaida macroura,Mourning Dove,0.0037,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
9.0,12.0,Contopus virens,Eastern Wood-Pewee,0.0033,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
9.0,12.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
9.0,12.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0012,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
9.0,12.0,Empidonax virescens,Acadian Flycatcher,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
10.5,13.5,Zenaida macroura,Mourning Dove,0.0042,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
10.5,13.5,Thryothorus ludovicianus,Carolina Wren,0.0024,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
10.5,13.5,Contopus virens,Eastern Wood-Pewee,0.0020,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
10.5,13.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0012,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
10.5,13.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
10.5,13.5,Empidonax virescens,Acadian Flycatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
12.0,15.0,Zenaida macroura,Mourning Dove,0.0036,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
12.0,15.0,Thryothorus ludovicianus,Carolina Wren,0.0020,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
12.0,15.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0013,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
12.0,15.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0007,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
12.0,15.0,Contopus virens,Eastern Wood-Pewee,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
12.0,15.0,Empidonax virescens,Acadian Flycatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
13.5,16.5,Thryothorus ludovicianus,Carolina Wren,0.0021,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
13.5,16.5,Zenaida macroura,Mourning Dove,0.0019,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
13.5,16.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
13.5,16.5,Contopus virens,Eastern Wood-Pewee,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
13.5,16.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0005,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
13.5,16.5,Empidonax virescens,Acadian Flycatcher,0.0005,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
15.0,18.0,Thryothorus ludovicianus,Carolina Wren,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
15.0,18.0,Contopus virens,Eastern Wood-Pewee,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
15.0,18.0,Zenaida macroura,Mourning Dove,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
15.0,18.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
15.0,18.0,Empidonax virescens,Acadian Flycatcher,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
15.0,18.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
16.5,19.5,Thryothorus ludovicianus,Carolina Wren,0.0016,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
16.5,19.5,Empidonax virescens,Acadian Flycatcher,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
16.5,19.5,Contopus virens,Eastern Wood-Pewee,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
16.5,19.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
16.5,19.5,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
16.5,19.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
18.0,21.0,Empidonax virescens,Acadian Flycatcher,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
18.0,21.0,Thryothorus ludovicianus,Carolina Wren,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
18.0,21.0,Contopus virens,Eastern Wood-Pewee,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
18.0,21.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
18.0,21.0,Zenaida macroura,Mourning Dove,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
18.0,21.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
19.5,22.5,Contopus virens,Eastern Wood-Pewee,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
19.5,22.5,Empidonax virescens,Acadian Flycatcher,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
19.5,22.5,Thryothorus ludovicianus,Carolina Wren,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
19.5,22.5,Zenaida macroura,Mourning Dove,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
19.5,22.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0005,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
19.5,22.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
21.0,24.0,Empidonax virescens,Acadian Flycatcher,0.0047,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
21.0,24.0,Contopus virens,Eastern Wood-Pewee,0.0040,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
21.0,24.0,Thryothorus ludovicianus,Carolina Wren,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
21.0,24.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0013,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
21.0,24.0,Zenaida macroura,Mourning Dove,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
21.0,24.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
22.5,25.5,Contopus virens,Eastern Wood-Pewee,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
22.5,25.5,Empidonax virescens,Acadian Flycatcher,0.0007,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
22.5,25.5,Zenaida macroura,Mourning Dove,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
22.5,25.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
22.5,25.5,Thryothorus ludovicianus,Carolina Wren,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
22.5,25.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
24.0,27.0,Thryothorus ludovicianus,Carolina Wren,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
24.0,27.0,Contopus virens,Eastern Wood-Pewee,0.0005,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
24.0,27.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
24.0,27.0,Empidonax virescens,Acadian Flycatcher,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
24.0,27.0,Zenaida macroura,Mourning Dove,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
24.0,27.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
25.5,28.5,Thryothorus ludovicianus,Carolina Wren,0.0177,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
25.5,28.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
25.5,28.5,Contopus virens,Eastern Wood-Pewee,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
25.5,28.5,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
25.5,28.5,Empidonax virescens,Acadian Flycatcher,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
25.5,28.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
27.0,30.0,Thryothorus ludovicianus,Carolina Wren,0.0080,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
27.0,30.0,Contopus virens,Eastern Wood-Pewee,0.0052,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
27.0,30.0,Zenaida macroura,Mourning Dove,0.0049,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
27.0,30.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0022,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
27.0,30.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
27.0,30.0,Empidonax virescens,Acadian Flycatcher,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\UNC_25m_0523.WAV
