Start (s),End (s),Scientific name,Common name,Confidence,File
49.5,52.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.4991,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
49.5,52.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0106,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
49.5,52.5,Empidonax virescens,Acadian Flycatcher,0.0097,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
49.5,52.5,Contopus virens,Eastern Wood-Pewee,0.0025,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
49.5,52.5,Thryothorus ludovicianus,Carolina Wren,0.0023,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
49.5,52.5,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
51.0,54.0,Thryothorus ludovicianus,Carolina Wren,0.2752,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
51.0,54.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0328,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
51.0,54.0,Empidonax virescens,Acadian Flycatcher,0.0113,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
51.0,54.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0056,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
51.0,54.0,Contopus virens,Eastern Wood-Pewee,0.0046,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
51.0,54.0,Zenaida macroura,Mourning Dove,0.0016,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
52.5,55.5,Thryothorus ludovicianus,Carolina Wren,0.2653,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
52.5,55.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0138,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
52.5,55.5,Empidonax virescens,Acadian Flycatcher,0.0131,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
52.5,55.5,Contopus virens,Eastern Wood-Pewee,0.0064,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
52.5,55.5,Zenaida macroura,Mourning Dove,0.0061,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
52.5,55.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0054,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
54.0,57.0,Thryothorus ludovicianus,Carolina Wren,0.0883,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
54.0,57.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0115,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
54.0,57.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0113,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
54.0,57.0,Empidonax virescens,Acadian Flycatcher,0.0038,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
54.0,57.0,Zenaida macroura,Mourning Dove,0.0034,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
54.0,57.0,Contopus virens,Eastern Wood-Pewee,0.0024,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
55.5,58.5,Contopus virens,Eastern Wood-Pewee,0.5551,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
55.5,58.5,Empidonax virescens,Acadian Flycatcher,0.0111,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
55.5,58.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0105,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
55.5,58.5,Thryothorus ludovicianus,Carolina Wren,0.0061,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
55.5,58.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0032,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
55.5,58.5,Zenaida macroura,Mourning Dove,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
57.0,60.0,Contopus virens,Eastern Wood-Pewee,0.4640,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
57.0,60.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0116,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
57.0,60.0,Empidonax virescens,Acadian Flycatcher,0.0100,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
57.0,60.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0038,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
57.0,60.0,Thryothorus ludovicianus,Carolina Wren,0.0023,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
57.0,60.0,Zenaida macroura,Mourning Dove,0.0007,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
