Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Zenaida macroura,Mourning Dove,0.0008,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0007,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
1.5,4.5,Thryothorus ludovicianus,Carolina Wren,0.0064,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
1.5,4.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0036,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
1.5,4.5,Zenaida macroura,Mourning Dove,0.0033,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
1.5,4.5,Contopus virens,Eastern Wood-Pewee,0.0020,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
1.5,4.5,Empidonax virescens,Acadian Flycatcher,0.0020,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
1.5,4.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0109,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0094,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0064,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0047,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0022,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
3.0,6.0,Zenaida macroura,Mourning Dove,0.0017,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
4.5,7.5,Empidonax virescens,Acadian Flycatcher,0.6061,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
4.5,7.5,Contopus virens,Eastern Wood-Pewee,0.0055,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
4.5,7.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0038,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
4.5,7.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0007,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
4.5,7.5,Thryothorus ludovicianus,Carolina Wren,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
4.5,7.5,Zenaida macroura,Mourning Dove,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.5618,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0029,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
6.0,9.0,Zenaida macroura,Mourning Dove,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
7.5,10.5,Empidonax virescens,Acadian Flycatcher,0.0021,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
7.5,10.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0016,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
7.5,10.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
7.5,10.5,Contopus virens,Eastern Wood-Pewee,0.0013,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
7.5,10.5,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
7.5,10.5,Thryothorus ludovicianus,Carolina Wren,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
9.0,12.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0005,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
9.0,12.0,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
9.0,12.0,Contopus virens,Eastern Wood-Pewee,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
9.0,12.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
9.0,12.0,Empidonax virescens,Acadian Flycatcher,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
9.0,12.0,Thryothorus ludovicianus,Carolina Wren,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
10.5,13.5,Empidonax virescens,Acadian Flycatcher,0.9602,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
10.5,13.5,Contopus virens,Eastern Wood-Pewee,0.0025,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
10.5,13.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0016,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
10.5,13.5,Thryothorus ludovicianus,Carolina Wren,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
10.5,13.5,Zenaida macroura,Mourning Dove,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
10.5,13.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
12.0,15.0,Empidonax virescens,Acadian Flycatcher,0.9642,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
12.0,15.0,Contopus virens,Eastern Wood-Pewee,0.0030,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
12.0,15.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
12.0,15.0,Thryothorus ludovicianus,Carolina Wren,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
12.0,15.0,Zenaida macroura,Mourning Dove,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
12.0,15.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
13.5,16.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.8382,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
13.5,16.5,Empidonax virescens,Acadian Flycatcher,0.0070,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
13.5,16.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0035,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
13.5,16.5,Thryothorus ludovicianus,Carolina Wren,0.0034,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
13.5,16.5,Contopus virens,Eastern Wood-Pewee,0.0029,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
13.5,16.5,Zenaida macroura,Mourning Dove,0.0012,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
15.0,18.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.9396,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
15.0,18.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0049,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
15.0,18.0,Empidonax virescens,Acadian Flycatcher,0.0044,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
15.0,18.0,Contopus virens,Eastern Wood-Pewee,0.0040,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
15.0,18.0,Thryothorus ludovicianus,Carolina Wren,0.0018,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
15.0,18.0,Zenaida macroura,Mourning Dove,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
16.5,19.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.5448,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
16.5,19.5,Thryothorus ludovicianus,Carolina Wren,0.0521,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
16.5,19.5,Contopus virens,Eastern Wood-Pewee,0.0047,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
16.5,19.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0037,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
16.5,19.5,Empidonax virescens,Acadian Flycatcher,0.0026,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
16.5,19.5,Zenaida macroura,Mourning Dove,0.0005,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
18.0,21.0,Thryothorus ludovicianus,Carolina Wren,0.9667,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
18.0,21.0,Contopus virens,Eastern Wood-Pewee,0.0132,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
18.0,21.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0038,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
18.0,21.0,Empidonax virescens,Acadian Flycatcher,0.0023,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
18.0,21.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0016,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
18.0,21.0,Zenaida macroura,Mourning Dove,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
19.5,22.5,Thryothorus ludovicianus,Carolina Wren,0.9446,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
19.5,22.5,Contopus virens,Eastern Wood-Pewee,0.0044,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
19.5,22.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
19.5,22.5,Zenaida macroura,Mourning Dove,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
19.5,22.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0014,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
19.5,22.5,Empidonax virescens,Acadian Flycatcher,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
21.0,24.0,Contopus virens,Eastern Wood-Pewee,0.6862,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
21.0,24.0,Thryothorus ludovicianus,Carolina Wren,0.1708,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
21.0,24.0,Empidonax virescens,Acadian Flycatcher,0.0021,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
21.0,24.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
21.0,24.0,Zenaida macroura,Mourning Dove,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
21.0,24.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
22.5,25.5,Contopus virens,Eastern Wood-Pewee,0.9247,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
22.5,25.5,Empidonax virescens,Acadian Flycatcher,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
22.5,25.5,Thryothorus ludovicianus,Carolina Wren,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
22.5,25.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
22.5,25.5,Zenaida macroura,Mourning Dove,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
22.5,25.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
24.0,27.0,Thryothorus ludovicianus,Carolina Wren,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
24.0,27.0,Contopus virens,Eastern Wood-Pewee,0.0001,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
24.0,27.0,Zenaida macroura,Mourning Dove,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
24.0,27.0,Empidonax virescens,Acadian Flycatcher,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
24.0,27.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0000,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\NCBG_25m_0524.WAV
