Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0023,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0019,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0016,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0015,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.5393,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0159,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0113,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0040,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0013,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0014,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0009,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
