Start (s),End (s),Scientific name,Common name,Confidence,File
0,3,Empidonax virescens,Acadian Flycatcher,0.9932,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3,Empidonax virescens,Acadian Flycatcher,0.9973,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3,Thryothorus ludovicianus,Carolina Wren,0.2803,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3,Polioptila caerulea,Blue-gray Gnatcatcher,0.5393,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_BG_75.wav
0,3,Contopus virens,Eastern Wood-Pewee,0.8745,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_EWP_100.wav
0,3,Thryothorus ludovicianus,Carolina Wren,0.9679,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_75.wav
0,3,Contopus virens,Eastern Wood-Pewee,0.3735,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_EWP_75.wav
0,3,Coccyzus americanus,Yellow-billed Cuckoo,0.9943,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_100.wav
0,3,Coccyzus americanus,Yellow-billed Cuckoo,0.9902,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_YBC_75.wav
0,3,Empidonax virescens,Acadian Flycatcher,0.9852,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_AF_100.wav
0,3,Empidonax virescens,Acadian Flycatcher,0.9747,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_AF_75.wav
0,3,Polioptila caerulea,Blue-gray Gnatcatcher,0.1387,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_BG_75.wav
0,3,Contopus virens,Eastern Wood-Pewee,0.0227,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_EWP_75.wav
0,3,Thryothorus ludovicianus,Carolina Wren,0.2901,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_CW5_75.wav
0,3,Coccyzus americanus,Yellow-billed Cuckoo,0.9846,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_YBC_100.wav
0,3,Empidonax virescens,Acadian Flycatcher,0.9885,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_AF_100.wav
0,3,Coccyzus americanus,Yellow-billed Cuckoo,0.9532,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\19_25S_YBC_75.wav
0,3,Empidonax virescens,Acadian Flycatcher,0.9555,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_AF_75.wav
0,3,Polioptila caerulea,Blue-gray Gnatcatcher,0.9551,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_100.wav
0,3,Polioptila caerulea,Blue-gray Gnatcatcher,0.8935,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
0,3,Thryothorus ludovicianus,Carolina Wren,0.9996,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_CW5_75.wav
0,3,Thryothorus ludovicianus,Carolina Wren,0.9772,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_CW5_50.wav
0,3,Contopus virens,Eastern Wood-Pewee,0.9217,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_EWP_100.wav
0,3,Contopus virens,Eastern Wood-Pewee,0.9285,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_EWP_75.wav
0,3,Coccyzus americanus,Yellow-billed Cuckoo,0.993,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_YBC_100.wav
3,6,Coccyzus americanus,Yellow-billed Cuckoo,0.9615,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_YBC_100.wav
0,3,Empidonax virescens,Acadian Flycatcher,0.9845,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\3_25S_AF_100.wav
