Start(s),End(s),Scientificname,Commonname,Confidence,File
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9932,13_25E_AF_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9973,13_25E_AF_100.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.2803,13_25E_CW5_50.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.5393,13_25E_BG_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.8745,13_25E_EWP_100.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9679,13_25E_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.3735,13_25E_EWP_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9943,13_25E_YBC_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9902,13_25E_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9852,19_25S_AF_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9747,19_25S_AF_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.1387,19_25S_BG_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.0227,19_25S_EWP_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.2901,19_25S_CW5_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9846,19_25S_YBC_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9885,22_25N_AF_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9532,19_25S_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9555,22_25N_AF_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.9551,22_25N_BG_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.8935,22_25N_BG_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9996,22_25N_CW5_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9772,22_25N_CW5_50.wav
0,3,Contopusvirens,EasternWood-Pewee,0.9217,22_25N_EWP_100.wav
0,3,Contopusvirens,EasternWood-Pewee,0.9285,22_25N_EWP_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.993,22_25N_YBC_100.wav
3,6,Coccyzusamericanus,Yellow-billedCuckoo,0.9615,22_25N_YBC_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9845,3_25S_AF_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9974,22_25N_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.969,3_25S_AF_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.8653,3_25S_EWP_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.7232,3_25S_BG_100.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.4044,3_25S_CW5_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.1299,3_25S_BG_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9557,3_25S_YBC_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9965,6_25N_AF_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9685,6_25N_AF_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.8767,3_25S_YBC_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.8909,6_25N_BG_100.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9926,6_25N_CW5_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.925,6_25N_BG_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.982,6_25N_CW5_50.wav
0,3,Contopusvirens,EasternWood-Pewee,0.9166,6_25N_EWP_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9825,9_25W_AF_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.952,9_25W_AF_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9929,6_25N_YBC_100.wav
3,6,Coccyzusamericanus,Yellow-billedCuckoo,0.9587,6_25N_YBC_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.9738,9_25W_BG_100.wav
3,6,Polioptilacaerulea,Blue-grayGnatcatcher,0.3818,9_25W_BG_100.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9748,9_25W_CW5_50.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9981,9_25W_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.9348,9_25W_EWP_100.wav
0,3,Contopusvirens,EasternWood-Pewee,0.9655,9_25W_EWP_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9869,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_AF_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.5324,9_25W_YBC_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.1319,9_25W_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9542,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_AF_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9608,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9892,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.3173,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_BG_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.1468,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_BG_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.7247,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_EWP_100.wav
0,3,Contopusvirens,EasternWood-Pewee,0.7575,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_EWP_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.5515,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.1266,audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9094,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_AF_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.8805,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_AF_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.9377,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_BG_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.7175,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_BG_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.7904,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_CW5_50.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.9967,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.583,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_EWP_100.wav
0,3,Contopusvirens,EasternWood-Pewee,0.5479,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_EWP_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9668,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_AF_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9906,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_YBC_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.8635,audiofiles\masonFarmAudio\audiofiles\50m\14_50E_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.8999,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_AF_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.6114,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.4594,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_75.wav
