Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1266,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0051,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0038,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0029,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0020,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0109,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0101,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0085,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0076,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0027,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_YBC_75.wav
