Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.6114,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0160,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0149,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0120,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.4956,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0011,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0011,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0009,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_BG_100.wav
