Start (s),End (s),Scientific name,Common name,Confidence,File
45.0,48.0,Limnothlypis swainsonii,Swainson's Warbler,0.5839,E:\2022\BigOakWoods\K9\20220602_093000.WAV
51.0,54.0,Limnothlypis swainsonii,Swainson's Warbler,0.5357,E:\2022\BigOakWoods\K9\20220602_093000.WAV
57.0,60.0,Limnothlypis swainsonii,Swainson's Warbler,0.5551,E:\2022\BigOakWoods\K9\20220602_093000.WAV
78.0,81.0,Limnothlypis swainsonii,Swainson's Warbler,0.6199,E:\2022\BigOakWoods\K9\20220602_093000.WAV
87.0,90.0,Limnothlypis swainsonii,Swainson's Warbler,0.6215,E:\2022\BigOakWoods\K9\20220602_093000.WAV
96.0,99.0,Limnothlypis swainsonii,Swainson's Warbler,0.6599,E:\2022\BigOakWoods\K9\20220602_093000.WAV
102.0,105.0,Limnothlypis swainsonii,Swainson's Warbler,0.6055,E:\2022\BigOakWoods\K9\20220602_093000.WAV
108.0,111.0,Limnothlypis swainsonii,Swainson's Warbler,0.5369,E:\2022\BigOakWoods\K9\20220602_093000.WAV
117.0,120.0,Limnothlypis swainsonii,Swainson's Warbler,0.5594,E:\2022\BigOakWoods\K9\20220602_093000.WAV
120.0,123.0,Limnothlypis swainsonii,Swainson's Warbler,0.6711,E:\2022\BigOakWoods\K9\20220602_093000.WAV
159.0,162.0,Limnothlypis swainsonii,Swainson's Warbler,0.5432,E:\2022\BigOakWoods\K9\20220602_093000.WAV
186.0,189.0,Limnothlypis swainsonii,Swainson's Warbler,0.5372,E:\2022\BigOakWoods\K9\20220602_093000.WAV
207.0,210.0,Limnothlypis swainsonii,Swainson's Warbler,0.5498,E:\2022\BigOakWoods\K9\20220602_093000.WAV
216.0,219.0,Limnothlypis swainsonii,Swainson's Warbler,0.5203,E:\2022\BigOakWoods\K9\20220602_093000.WAV
222.0,225.0,Limnothlypis swainsonii,Swainson's Warbler,0.5470,E:\2022\BigOakWoods\K9\20220602_093000.WAV
225.0,228.0,Limnothlypis swainsonii,Swainson's Warbler,0.5495,E:\2022\BigOakWoods\K9\20220602_093000.WAV
