Start (s),End (s),Scientific name,Common name,Confidence,File
2328.0,2331.0,Empidonax virescens,Acadian Flycatcher,0.8907,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2358.0,2361.0,Empidonax virescens,Acadian Flycatcher,0.7139,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2376.0,2379.0,Empidonax virescens,Acadian Flycatcher,0.7844,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2394.0,2397.0,Empidonax virescens,Acadian Flycatcher,0.8511,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2415.0,2418.0,Empidonax virescens,Acadian Flycatcher,0.5153,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2451.0,2454.0,Empidonax virescens,Acadian Flycatcher,0.5573,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2472.0,2475.0,Empidonax virescens,Acadian Flycatcher,0.6607,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2502.0,2505.0,Empidonax virescens,Acadian Flycatcher,0.7935,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2892.0,2895.0,Empidonax virescens,Acadian Flycatcher,0.7410,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2907.0,2910.0,Empidonax virescens,Acadian Flycatcher,0.6170,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2937.0,2940.0,Piranga rubra,Summer Tanager,0.7142,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2943.0,2946.0,Piranga rubra,Summer Tanager,0.5324,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2949.0,2952.0,Piranga rubra,Summer Tanager,0.8914,E:\2022\BigOakWoods\K9\20220720_093000.WAV
2955.0,2958.0,Piranga rubra,Summer Tanager,0.7649,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3012.0,3015.0,Helmitheros vermivorum,Worm-eating Warbler,0.6862,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3021.0,3024.0,Piranga rubra,Summer Tanager,0.6433,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3027.0,3030.0,Empidonax virescens,Acadian Flycatcher,0.7968,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3141.0,3144.0,Empidonax virescens,Acadian Flycatcher,0.7735,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3522.0,3525.0,Empidonax virescens,Acadian Flycatcher,0.7755,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3537.0,3540.0,Empidonax virescens,Acadian Flycatcher,0.7547,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3615.0,3618.0,Empidonax virescens,Acadian Flycatcher,0.5904,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3666.0,3669.0,Empidonax virescens,Acadian Flycatcher,0.6243,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3681.0,3684.0,Empidonax virescens,Acadian Flycatcher,0.7459,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3702.0,3705.0,Empidonax virescens,Acadian Flycatcher,0.7678,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3723.0,3726.0,Empidonax virescens,Acadian Flycatcher,0.5291,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3741.0,3744.0,Empidonax virescens,Acadian Flycatcher,0.6936,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3774.0,3777.0,Empidonax virescens,Acadian Flycatcher,0.7662,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3834.0,3837.0,Empidonax virescens,Acadian Flycatcher,0.6336,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3846.0,3849.0,Empidonax virescens,Acadian Flycatcher,0.6851,E:\2022\BigOakWoods\K9\20220720_093000.WAV
3897.0,3900.0,Empidonax virescens,Acadian Flycatcher,0.8689,E:\2022\BigOakWoods\K9\20220720_093000.WAV
7683.0,7686.0,Dryobates pubescens,Downy Woodpecker,0.8257,E:\2022\BigOakWoods\K9\20220720_093000.WAV
8436.0,8439.0,Melanerpes carolinus,Red-bellied Woodpecker,0.7989,E:\2022\BigOakWoods\K9\20220720_093000.WAV
8844.0,8847.0,Melanerpes carolinus,Red-bellied Woodpecker,0.6034,E:\2022\BigOakWoods\K9\20220720_093000.WAV
