Start (s),End (s),Scientific name,Common name,Confidence,File
1758.0,1761.0,Empidonax virescens,Acadian Flycatcher,0.8832,E:\2022\BigOakWoods\K9\20220606_093000.WAV
1773.0,1776.0,Empidonax virescens,Acadian Flycatcher,0.7185,E:\2022\BigOakWoods\K9\20220606_093000.WAV
1788.0,1791.0,Empidonax virescens,Acadian Flycatcher,0.5993,E:\2022\BigOakWoods\K9\20220606_093000.WAV
1881.0,1884.0,Vireo flavifrons,Yellow-throated Vireo,0.5245,E:\2022\BigOakWoods\K9\20220606_093000.WAV
1959.0,1962.0,Dryocopus pileatus,Pileated Woodpecker,0.8192,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2100.0,2103.0,Empidonax virescens,Acadian Flycatcher,0.7261,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2106.0,2109.0,Empidonax virescens,Acadian Flycatcher,0.9864,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2118.0,2121.0,Empidonax virescens,Acadian Flycatcher,0.9892,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2124.0,2127.0,Buteo lineatus,Red-shouldered Hawk,0.6475,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2133.0,2136.0,Empidonax virescens,Acadian Flycatcher,0.9949,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2145.0,2148.0,Empidonax virescens,Acadian Flycatcher,0.9837,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2157.0,2160.0,Empidonax virescens,Acadian Flycatcher,0.9936,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2175.0,2178.0,Empidonax virescens,Acadian Flycatcher,0.9743,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2190.0,2193.0,Empidonax virescens,Acadian Flycatcher,0.9551,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2202.0,2205.0,Empidonax virescens,Acadian Flycatcher,0.9018,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2214.0,2217.0,Empidonax virescens,Acadian Flycatcher,0.8792,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2232.0,2235.0,Empidonax virescens,Acadian Flycatcher,0.9819,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2244.0,2247.0,Empidonax virescens,Acadian Flycatcher,0.9425,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2427.0,2430.0,Empidonax virescens,Acadian Flycatcher,0.5165,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2433.0,2436.0,Empidonax virescens,Acadian Flycatcher,0.5808,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2463.0,2466.0,Empidonax virescens,Acadian Flycatcher,0.7707,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2466.0,2469.0,Empidonax virescens,Acadian Flycatcher,0.7761,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2469.0,2472.0,Empidonax virescens,Acadian Flycatcher,0.5321,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2481.0,2484.0,Empidonax virescens,Acadian Flycatcher,0.9497,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2493.0,2496.0,Empidonax virescens,Acadian Flycatcher,0.9328,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2511.0,2514.0,Empidonax virescens,Acadian Flycatcher,0.7724,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2529.0,2532.0,Empidonax virescens,Acadian Flycatcher,0.6768,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2547.0,2550.0,Empidonax virescens,Acadian Flycatcher,0.6028,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2571.0,2574.0,Vireo flavifrons,Yellow-throated Vireo,0.7359,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2580.0,2583.0,Empidonax virescens,Acadian Flycatcher,0.8308,E:\2022\BigOakWoods\K9\20220606_093000.WAV
2769.0,2772.0,Vireo flavifrons,Yellow-throated Vireo,0.7435,E:\2022\BigOakWoods\K9\20220606_093000.WAV
3195.0,3198.0,Dryobates pubescens,Downy Woodpecker,0.5703,E:\2022\BigOakWoods\K9\20220606_093000.WAV
3228.0,3231.0,Vireo flavifrons,Yellow-throated Vireo,0.8104,E:\2022\BigOakWoods\K9\20220606_093000.WAV
3291.0,3294.0,Empidonax virescens,Acadian Flycatcher,0.6181,E:\2022\BigOakWoods\K9\20220606_093000.WAV
4101.0,4104.0,Vireo flavifrons,Yellow-throated Vireo,0.5190,E:\2022\BigOakWoods\K9\20220606_093000.WAV
4167.0,4170.0,Baeolophus bicolor,Tufted Titmouse,0.6523,E:\2022\BigOakWoods\K9\20220606_093000.WAV
4200.0,4203.0,Baeolophus bicolor,Tufted Titmouse,0.6465,E:\2022\BigOakWoods\K9\20220606_093000.WAV
4830.0,4833.0,Helmitheros vermivorum,Worm-eating Warbler,0.6866,E:\2022\BigOakWoods\K9\20220606_093000.WAV
4965.0,4968.0,Vireo flavifrons,Yellow-throated Vireo,0.7507,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5223.0,5226.0,Empidonax virescens,Acadian Flycatcher,0.8734,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5235.0,5238.0,Empidonax virescens,Acadian Flycatcher,0.9703,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5250.0,5253.0,Empidonax virescens,Acadian Flycatcher,0.9474,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5265.0,5268.0,Empidonax virescens,Acadian Flycatcher,0.9614,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5388.0,5391.0,Empidonax virescens,Acadian Flycatcher,0.8219,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5460.0,5463.0,Empidonax virescens,Acadian Flycatcher,0.7794,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5481.0,5484.0,Empidonax virescens,Acadian Flycatcher,0.7812,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5499.0,5502.0,Empidonax virescens,Acadian Flycatcher,0.9628,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5520.0,5523.0,Empidonax virescens,Acadian Flycatcher,0.9158,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5538.0,5541.0,Empidonax virescens,Acadian Flycatcher,0.8939,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5559.0,5562.0,Empidonax virescens,Acadian Flycatcher,0.6181,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5583.0,5586.0,Empidonax virescens,Acadian Flycatcher,0.5861,E:\2022\BigOakWoods\K9\20220606_093000.WAV
5595.0,5598.0,Empidonax virescens,Acadian Flycatcher,0.9585,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6111.0,6114.0,Empidonax virescens,Acadian Flycatcher,0.5374,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6180.0,6183.0,Setophaga americana,Northern Parula,0.7803,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6387.0,6390.0,Baeolophus bicolor,Tufted Titmouse,0.5004,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6399.0,6402.0,Baeolophus bicolor,Tufted Titmouse,0.6173,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6504.0,6507.0,Empidonax virescens,Acadian Flycatcher,0.7722,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6510.0,6513.0,Limnothlypis swainsonii,Swainson's Warbler,0.5568,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6516.0,6519.0,Empidonax virescens,Acadian Flycatcher,0.7153,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6522.0,6525.0,Empidonax virescens,Acadian Flycatcher,0.7655,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6609.0,6612.0,Empidonax virescens,Acadian Flycatcher,0.9271,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6645.0,6648.0,Empidonax virescens,Acadian Flycatcher,0.8011,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6654.0,6657.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8458,E:\2022\BigOakWoods\K9\20220606_093000.WAV
6657.0,6660.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8908,E:\2022\BigOakWoods\K9\20220606_093000.WAV
