Start (s),End (s),Scientific name,Common name,Confidence,File
2532.0,2535.0,Empidonax virescens,Acadian Flycatcher,0.6011,E:\2022\BigOakWoods\K9\20220718_093000.WAV
2547.0,2550.0,Empidonax virescens,Acadian Flycatcher,0.6310,E:\2022\BigOakWoods\K9\20220718_093000.WAV
2688.0,2691.0,Empidonax virescens,Acadian Flycatcher,0.5361,E:\2022\BigOakWoods\K9\20220718_093000.WAV
2736.0,2739.0,Empidonax virescens,Acadian Flycatcher,0.8412,E:\2022\BigOakWoods\K9\20220718_093000.WAV
3546.0,3549.0,Empidonax virescens,Acadian Flycatcher,0.5982,E:\2022\BigOakWoods\K9\20220718_093000.WAV
3564.0,3567.0,Empidonax virescens,Acadian Flycatcher,0.5877,E:\2022\BigOakWoods\K9\20220718_093000.WAV
3618.0,3621.0,Empidonax virescens,Acadian Flycatcher,0.7086,E:\2022\BigOakWoods\K9\20220718_093000.WAV
3783.0,3786.0,Empidonax virescens,Acadian Flycatcher,0.6043,E:\2022\BigOakWoods\K9\20220718_093000.WAV
3816.0,3819.0,Empidonax virescens,Acadian Flycatcher,0.5091,E:\2022\BigOakWoods\K9\20220718_093000.WAV
3900.0,3903.0,Empidonax virescens,Acadian Flycatcher,0.5436,E:\2022\BigOakWoods\K9\20220718_093000.WAV
4746.0,4749.0,Empidonax virescens,Acadian Flycatcher,0.6403,E:\2022\BigOakWoods\K9\20220718_093000.WAV
4947.0,4950.0,Empidonax virescens,Acadian Flycatcher,0.5332,E:\2022\BigOakWoods\K9\20220718_093000.WAV
4959.0,4962.0,Empidonax virescens,Acadian Flycatcher,0.8849,E:\2022\BigOakWoods\K9\20220718_093000.WAV
5058.0,5061.0,Empidonax virescens,Acadian Flycatcher,0.5921,E:\2022\BigOakWoods\K9\20220718_093000.WAV
8889.0,8892.0,Empidonax virescens,Acadian Flycatcher,0.7830,E:\2022\BigOakWoods\K9\20220718_093000.WAV
8958.0,8961.0,Empidonax virescens,Acadian Flycatcher,0.6824,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9210.0,9213.0,Empidonax virescens,Acadian Flycatcher,0.6523,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9330.0,9333.0,Empidonax virescens,Acadian Flycatcher,0.5319,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9366.0,9369.0,Empidonax virescens,Acadian Flycatcher,0.5923,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9567.0,9570.0,Empidonax virescens,Acadian Flycatcher,0.9318,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9636.0,9639.0,Empidonax virescens,Acadian Flycatcher,0.7072,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9651.0,9654.0,Empidonax virescens,Acadian Flycatcher,0.7275,E:\2022\BigOakWoods\K9\20220718_093000.WAV
9870.0,9873.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8847,E:\2022\BigOakWoods\K9\20220718_093000.WAV
10656.0,10659.0,Helmitheros vermivorum,Worm-eating Warbler,0.5235,E:\2022\BigOakWoods\K9\20220718_093000.WAV
