Start (s),End (s),Scientific name,Common name,Confidence,File
141.0,144.0,Strix varia,Barred Owl,0.6539,E:\2022\BigOakWoods\K9\20220707_093000.WAV
2253.0,2256.0,Empidonax virescens,Acadian Flycatcher,0.7237,E:\2022\BigOakWoods\K9\20220707_093000.WAV
2277.0,2280.0,Empidonax virescens,Acadian Flycatcher,0.5955,E:\2022\BigOakWoods\K9\20220707_093000.WAV
2295.0,2298.0,Empidonax virescens,Acadian Flycatcher,0.6618,E:\2022\BigOakWoods\K9\20220707_093000.WAV
2403.0,2406.0,Empidonax virescens,Acadian Flycatcher,0.8508,E:\2022\BigOakWoods\K9\20220707_093000.WAV
3027.0,3030.0,Melanerpes carolinus,Red-bellied Woodpecker,0.5620,E:\2022\BigOakWoods\K9\20220707_093000.WAV
4803.0,4806.0,Sitta carolinensis,White-breasted Nuthatch,0.6425,E:\2022\BigOakWoods\K9\20220707_093000.WAV
4809.0,4812.0,Sitta carolinensis,White-breasted Nuthatch,0.5120,E:\2022\BigOakWoods\K9\20220707_093000.WAV
4854.0,4857.0,Sitta carolinensis,White-breasted Nuthatch,0.5180,E:\2022\BigOakWoods\K9\20220707_093000.WAV
5532.0,5535.0,Baeolophus bicolor,Tufted Titmouse,0.5398,E:\2022\BigOakWoods\K9\20220707_093000.WAV
5619.0,5622.0,Poecile carolinensis,Carolina Chickadee,0.6373,E:\2022\BigOakWoods\K9\20220707_093000.WAV
5625.0,5628.0,Poecile carolinensis,Carolina Chickadee,0.8110,E:\2022\BigOakWoods\K9\20220707_093000.WAV
5640.0,5643.0,Poecile carolinensis,Carolina Chickadee,0.5564,E:\2022\BigOakWoods\K9\20220707_093000.WAV
6225.0,6228.0,Empidonax virescens,Acadian Flycatcher,0.5193,E:\2022\BigOakWoods\K9\20220707_093000.WAV
6627.0,6630.0,Dryobates villosus,Hairy Woodpecker,0.8567,E:\2022\BigOakWoods\K9\20220707_093000.WAV
6915.0,6918.0,Dryobates villosus,Hairy Woodpecker,0.5311,E:\2022\BigOakWoods\K9\20220707_093000.WAV
7755.0,7758.0,Empidonax virescens,Acadian Flycatcher,0.9048,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8145.0,8148.0,Piranga rubra,Summer Tanager,0.8576,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8148.0,8151.0,Piranga rubra,Summer Tanager,0.6941,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8151.0,8154.0,Piranga rubra,Summer Tanager,0.9001,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8154.0,8157.0,Piranga rubra,Summer Tanager,0.9558,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8160.0,8163.0,Piranga rubra,Summer Tanager,0.7941,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8163.0,8166.0,Piranga rubra,Summer Tanager,0.9460,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8193.0,8196.0,Piranga rubra,Summer Tanager,0.7178,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8196.0,8199.0,Empidonax virescens,Acadian Flycatcher,0.5834,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8199.0,8202.0,Piranga rubra,Summer Tanager,0.6047,E:\2022\BigOakWoods\K9\20220707_093000.WAV
8214.0,8217.0,Empidonax virescens,Acadian Flycatcher,0.7161,E:\2022\BigOakWoods\K9\20220707_093000.WAV
9507.0,9510.0,Helmitheros vermivorum,Worm-eating Warbler,0.8829,E:\2022\BigOakWoods\K9\20220707_093000.WAV
