Start (s),End (s),Scientific name,Common name,Confidence,File
1866.0,1869.0,Vireo flavifrons,Yellow-throated Vireo,0.7921,E:\2022\BigOakWoods\K9\20220712_093000.WAV
4002.0,4005.0,Piranga rubra,Summer Tanager,0.5133,E:\2022\BigOakWoods\K9\20220712_093000.WAV
4008.0,4011.0,Piranga rubra,Summer Tanager,0.6206,E:\2022\BigOakWoods\K9\20220712_093000.WAV
4068.0,4071.0,Piranga rubra,Summer Tanager,0.6007,E:\2022\BigOakWoods\K9\20220712_093000.WAV
4710.0,4713.0,Piranga rubra,Summer Tanager,0.5158,E:\2022\BigOakWoods\K9\20220712_093000.WAV
4812.0,4815.0,Piranga rubra,Summer Tanager,0.5626,E:\2022\BigOakWoods\K9\20220712_093000.WAV
5031.0,5034.0,Piranga rubra,Summer Tanager,0.7147,E:\2022\BigOakWoods\K9\20220712_093000.WAV
6684.0,6687.0,Baeolophus bicolor,Tufted Titmouse,0.6040,E:\2022\BigOakWoods\K9\20220712_093000.WAV
6705.0,6708.0,Baeolophus bicolor,Tufted Titmouse,0.7547,E:\2022\BigOakWoods\K9\20220712_093000.WAV
6729.0,6732.0,Baeolophus bicolor,Tufted Titmouse,0.6786,E:\2022\BigOakWoods\K9\20220712_093000.WAV
6735.0,6738.0,Baeolophus bicolor,Tufted Titmouse,0.6049,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7188.0,7191.0,Poecile carolinensis,Carolina Chickadee,0.6267,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7248.0,7251.0,Empidonax virescens,Acadian Flycatcher,0.6000,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7287.0,7290.0,Empidonax virescens,Acadian Flycatcher,0.6681,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7320.0,7323.0,Empidonax virescens,Acadian Flycatcher,0.7894,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7338.0,7341.0,Empidonax virescens,Acadian Flycatcher,0.9361,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7344.0,7347.0,Regulus satrapa,Golden-crowned Kinglet,0.5582,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7353.0,7356.0,Empidonax virescens,Acadian Flycatcher,0.7743,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7377.0,7380.0,Empidonax virescens,Acadian Flycatcher,0.7394,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7380.0,7383.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7569,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7404.0,7407.0,Empidonax virescens,Acadian Flycatcher,0.6766,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7419.0,7422.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9831,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7422.0,7425.0,Coccyzus americanus,Yellow-billed Cuckoo,0.6419,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7428.0,7431.0,Empidonax virescens,Acadian Flycatcher,0.9015,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7449.0,7452.0,Empidonax virescens,Acadian Flycatcher,0.8789,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7455.0,7458.0,Coccyzus americanus,Yellow-billed Cuckoo,0.6745,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7503.0,7506.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9126,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7506.0,7509.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8751,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7509.0,7512.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9842,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7515.0,7518.0,Empidonax virescens,Acadian Flycatcher,0.8956,E:\2022\BigOakWoods\K9\20220712_093000.WAV
7521.0,7524.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9876,E:\2022\BigOakWoods\K9\20220712_093000.WAV
