Start (s),End (s),Scientific name,Common name,Confidence,File
2067.0,2070.0,Empidonax virescens,Acadian Flycatcher,0.8148,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2202.0,2205.0,Thryothorus ludovicianus,Carolina Wren,0.6071,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2220.0,2223.0,Thryothorus ludovicianus,Carolina Wren,0.5551,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2241.0,2244.0,Thryothorus ludovicianus,Carolina Wren,0.6526,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2247.0,2250.0,Thryothorus ludovicianus,Carolina Wren,0.5120,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2268.0,2271.0,Thryothorus ludovicianus,Carolina Wren,0.7074,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2385.0,2388.0,Empidonax virescens,Acadian Flycatcher,0.6268,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2400.0,2403.0,Empidonax virescens,Acadian Flycatcher,0.5543,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2415.0,2418.0,Empidonax virescens,Acadian Flycatcher,0.7360,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2448.0,2451.0,Empidonax virescens,Acadian Flycatcher,0.5085,E:\2022\BigOakWoods\K9\20220705_093000.WAV
2574.0,2577.0,Vireo flavifrons,Yellow-throated Vireo,0.5266,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3171.0,3174.0,Empidonax virescens,Acadian Flycatcher,0.9487,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3186.0,3189.0,Empidonax virescens,Acadian Flycatcher,0.8276,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3210.0,3213.0,Empidonax virescens,Acadian Flycatcher,0.7828,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3222.0,3225.0,Empidonax virescens,Acadian Flycatcher,0.8083,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3240.0,3243.0,Empidonax virescens,Acadian Flycatcher,0.7894,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3849.0,3852.0,Empidonax virescens,Acadian Flycatcher,0.8560,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3915.0,3918.0,Empidonax virescens,Acadian Flycatcher,0.5593,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3924.0,3927.0,Contopus virens,Eastern Wood-Pewee,0.5223,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3957.0,3960.0,Contopus virens,Eastern Wood-Pewee,0.5331,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3972.0,3975.0,Empidonax virescens,Acadian Flycatcher,0.5942,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3987.0,3990.0,Contopus virens,Eastern Wood-Pewee,0.7698,E:\2022\BigOakWoods\K9\20220705_093000.WAV
3993.0,3996.0,Empidonax virescens,Acadian Flycatcher,0.6925,E:\2022\BigOakWoods\K9\20220705_093000.WAV
4212.0,4215.0,Empidonax virescens,Acadian Flycatcher,0.6980,E:\2022\BigOakWoods\K9\20220705_093000.WAV
4245.0,4248.0,Empidonax virescens,Acadian Flycatcher,0.6081,E:\2022\BigOakWoods\K9\20220705_093000.WAV
4278.0,4281.0,Empidonax virescens,Acadian Flycatcher,0.5718,E:\2022\BigOakWoods\K9\20220705_093000.WAV
4302.0,4305.0,Empidonax virescens,Acadian Flycatcher,0.7839,E:\2022\BigOakWoods\K9\20220705_093000.WAV
4500.0,4503.0,Contopus virens,Eastern Wood-Pewee,0.6162,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5523.0,5526.0,Empidonax virescens,Acadian Flycatcher,0.6073,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5547.0,5550.0,Empidonax virescens,Acadian Flycatcher,0.6135,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5592.0,5595.0,Empidonax virescens,Acadian Flycatcher,0.7702,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5619.0,5622.0,Empidonax virescens,Acadian Flycatcher,0.7068,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5643.0,5646.0,Empidonax virescens,Acadian Flycatcher,0.9862,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5661.0,5664.0,Empidonax virescens,Acadian Flycatcher,0.9854,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5682.0,5685.0,Empidonax virescens,Acadian Flycatcher,0.9199,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5703.0,5706.0,Empidonax virescens,Acadian Flycatcher,0.9344,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5736.0,5739.0,Empidonax virescens,Acadian Flycatcher,0.7388,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5760.0,5763.0,Empidonax virescens,Acadian Flycatcher,0.9459,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5784.0,5787.0,Empidonax virescens,Acadian Flycatcher,0.9682,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5820.0,5823.0,Empidonax virescens,Acadian Flycatcher,0.5659,E:\2022\BigOakWoods\K9\20220705_093000.WAV
5847.0,5850.0,Empidonax virescens,Acadian Flycatcher,0.5056,E:\2022\BigOakWoods\K9\20220705_093000.WAV
