Start (s),End (s),Scientific name,Common name,Confidence,File
3048.0,3051.0,Coccyzus americanus,Yellow-billed Cuckoo,0.5392,E:\2022\BigOakWoods\K9\20220710_093000.WAV
8250.0,8253.0,Piranga rubra,Summer Tanager,0.7571,E:\2022\BigOakWoods\K9\20220710_093000.WAV
8301.0,8304.0,Piranga rubra,Summer Tanager,0.5548,E:\2022\BigOakWoods\K9\20220710_093000.WAV
10572.0,10575.0,Empidonax virescens,Acadian Flycatcher,0.5748,E:\2022\BigOakWoods\K9\20220710_093000.WAV
10593.0,10596.0,Empidonax virescens,Acadian Flycatcher,0.5176,E:\2022\BigOakWoods\K9\20220710_093000.WAV
10617.0,10620.0,Empidonax virescens,Acadian Flycatcher,0.5313,E:\2022\BigOakWoods\K9\20220710_093000.WAV
