Start (s),End (s),Scientific name,Common name,Confidence,File
3033.0,3036.0,Dryocopus pileatus,Pileated Woodpecker,0.7641,E:\2022\BigOakWoods\K9\20220621_093000.WAV
4626.0,4629.0,Vireo flavifrons,Yellow-throated Vireo,0.8046,E:\2022\BigOakWoods\K9\20220621_093000.WAV
4731.0,4734.0,Vireo flavifrons,Yellow-throated Vireo,0.8362,E:\2022\BigOakWoods\K9\20220621_093000.WAV
4878.0,4881.0,Empidonax virescens,Acadian Flycatcher,0.7023,E:\2022\BigOakWoods\K9\20220621_093000.WAV
4893.0,4896.0,Empidonax virescens,Acadian Flycatcher,0.8452,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5106.0,5109.0,Vireo solitarius,Blue-headed Vireo,0.5688,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5112.0,5115.0,Vireo flavifrons,Yellow-throated Vireo,0.8676,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5241.0,5244.0,Empidonax virescens,Acadian Flycatcher,0.8411,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5268.0,5271.0,Vireo flavifrons,Yellow-throated Vireo,0.5575,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5304.0,5307.0,Empidonax virescens,Acadian Flycatcher,0.6413,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5844.0,5847.0,Vireo flavifrons,Yellow-throated Vireo,0.7020,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5895.0,5898.0,Vireo flavifrons,Yellow-throated Vireo,0.8049,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5928.0,5931.0,Vireo flavifrons,Yellow-throated Vireo,0.5167,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5952.0,5955.0,Vireo flavifrons,Yellow-throated Vireo,0.8930,E:\2022\BigOakWoods\K9\20220621_093000.WAV
5970.0,5973.0,Vireo flavifrons,Yellow-throated Vireo,0.8163,E:\2022\BigOakWoods\K9\20220621_093000.WAV
6117.0,6120.0,Vireo flavifrons,Yellow-throated Vireo,0.5641,E:\2022\BigOakWoods\K9\20220621_093000.WAV
7119.0,7122.0,Empidonax virescens,Acadian Flycatcher,0.5001,E:\2022\BigOakWoods\K9\20220621_093000.WAV
7269.0,7272.0,Empidonax virescens,Acadian Flycatcher,0.7599,E:\2022\BigOakWoods\K9\20220621_093000.WAV
7290.0,7293.0,Empidonax virescens,Acadian Flycatcher,0.8078,E:\2022\BigOakWoods\K9\20220621_093000.WAV
7317.0,7320.0,Empidonax virescens,Acadian Flycatcher,0.7245,E:\2022\BigOakWoods\K9\20220621_093000.WAV
8925.0,8928.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7297,E:\2022\BigOakWoods\K9\20220621_093000.WAV
8928.0,8931.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8312,E:\2022\BigOakWoods\K9\20220621_093000.WAV
9912.0,9915.0,Vireo flavifrons,Yellow-throated Vireo,0.5884,E:\2022\BigOakWoods\K9\20220621_093000.WAV
9918.0,9921.0,Vireo flavifrons,Yellow-throated Vireo,0.6293,E:\2022\BigOakWoods\K9\20220621_093000.WAV
9927.0,9930.0,Vireo flavifrons,Yellow-throated Vireo,0.8676,E:\2022\BigOakWoods\K9\20220621_093000.WAV
9933.0,9936.0,Vireo flavifrons,Yellow-throated Vireo,0.8097,E:\2022\BigOakWoods\K9\20220621_093000.WAV
9996.0,9999.0,Vireo flavifrons,Yellow-throated Vireo,0.9089,E:\2022\BigOakWoods\K9\20220621_093000.WAV
10020.0,10023.0,Vireo flavifrons,Yellow-throated Vireo,0.8310,E:\2022\BigOakWoods\K9\20220621_093000.WAV
10029.0,10032.0,Vireo flavifrons,Yellow-throated Vireo,0.6507,E:\2022\BigOakWoods\K9\20220621_093000.WAV
